147195,Pumpkin Butternut Whole Each,$4.55,$4.55 / 1EA,/shop/productdetails/147195/pumpkin-butternut-whole
178497,Silverbeet Fresh Bunch Each,$4.90,$4.90 / 1EA,/shop/productdetails/178497/silverbeet-fresh-bunch
187314,Woolworths Broccolini Bunch Each,$2.00,$2.00 / 1EA,/shop/productdetails/187314/woolworths-broccolini-bunch
135568,Fresh Cauliflower Half Each,$1.45,$1.45 / 1EA,/shop/productdetails/135568/fresh-cauliflower
385085,Woolworths White Washed Baby Potatoes Bag 1kg,$3.80,$3.80 / 1KG,/shop/productdetails/385085/woolworths-white-washed-baby-potatoes-bag
54901,Woolworths Baby Spinach & Kale 300g,$4.50,$15.00 / 1KG,/shop/productdetails/54901/woolworths-baby-spinach-kale
515547,Woolworths Thai Salad Kit 315g,$5.50,$1.75 / 100G,/shop/productdetails/515547/woolworths-thai-salad-kit
170127,Cabbage Chinese Wombok Whole Each,$4.90,$4.90 / 1EA,/shop/productdetails/170127/cabbage-chinese-wombok
705436,Woolworths Kaleslaw Kit 350g,$5.50,$15.71 / 1KG,/shop/productdetails/705436/woolworths-kaleslaw-kit
707369,Woolworths Sage Fresh Herb 10g Punnet,N/A,N/A,/shop/productdetails/707369/woolworths-sage-fresh-herb
149276,Strawberries 500g,N/A,N/A,/shop/productdetails/149276/woolworths-strawberries
829107,Mandarin Amorette Seedless Each,$0.66,$0.66 / 1EA,/shop/productdetails/829107/mandarin-amorette-seedless
101638,Woolworths Red Washed Potatoes Bag 2kg,$7.50,$3.75 / 1KG,/shop/productdetails/101638/woolworths-red-washed-potatoes-bag
162931,Woolworths Snow Peas Fresh 250g Bag,$5.50,$22.00 / 1KG,/shop/productdetails/162931/woolworths-snow-peas-fresh
143109,Mushrooms Cups Loose Per Kg,N/A,N/A,/shop/productdetails/143109/mushrooms-cups-loose
310968,Woolworths Fresh Pink Lady Apples Punnet 1kg,$4.00,$4.00 / 1KG,/shop/productdetails/310968/woolworths-fresh-pink-lady-apples-punnet
199732,Turnip Fresh Each,$1.40,$1.40 / 1EA,/shop/productdetails/199732/turnip-fresh
138082,Ginger Fresh Per Kg,$27.00,$27.00 / 1KG,/shop/productdetails/138082/ginger-fresh
515646,Woolworths Simply Steam Zucchini Spaghetti 250g,$3.00,$1.20 / 100G,/shop/productdetails/515646/woolworths-simply-steam-zucchini-spaghetti
115330,Fresh Packham Pear Each,$0.90,$0.90 / 1EA,/shop/productdetails/115330/fresh-packham-pear
713429,Garlic Head Each,$1.35,$1.35 / 1EA,/shop/productdetails/713429/woolworths-garlic-head
315670,Woolworths Fine Cut Coleslaw Coleslaw 300g,$3.00,$10.00 / 1KG,/shop/productdetails/315670/woolworths-fine-cut-coleslaw-coleslaw
124831,Woolworths Brushed Potatoes Bag 4kg,$7.00,$1.75 / 1KG,/shop/productdetails/124831/woolworths-brushed-potatoes-bag
163783,Woolworths Sugar Snap Peas 150g Bag,$4.90,$32.67 / 1KG,/shop/productdetails/163783/woolworths-sugar-snap-peas
285761,Perfection Romatherapy Baby Roma Tomato 250g Punnet,N/A,N/A,/shop/productdetails/285761/perfection-romatherapy-baby-roma-tomato
159626,Woolworths Greek Salad Kit 270g,$6.00,$22.22 / 1KG,/shop/productdetails/159626/woolworths-greek-salad-kit
152608,Woolworths Mushrooms Button 200g Punnet,$4.00,$20.00 / 1KG,/shop/productdetails/152608/woolworths-mushrooms-button
732262,The Odd Bunch Strawberry Punnet 500g,N/A,N/A,/shop/productdetails/732262/the-odd-bunch-strawberry-punnet
138801,White Seedless Grapes Bunch Each,$6.18,$6.18 / 1EA,/shop/productdetails/138801/white-seedless-grapes-bunch
127101,Aussie Sprouts Pea Shoots 100g Pack,$3.50,$35.00 / 1KG,/shop/productdetails/127101/aussie-sprouts-pea-shoots
169792,Fresh Blueberries Punnet 125g,$5.90,$47.20 / 1KG,/shop/productdetails/169792/fresh-blueberries-punnet
