328739,Don Skinless Thin Frankfurt's | approx 100g,$1.37,https://www.coles.com.au/product/don-skinless-thin-frankfurt's-approx.-100g-each-328739
4658349,Thomson's Deli Supreme Chicken Breast | approx 100g,$1.65,https://www.coles.com.au/product/thomson's-deli-supreme-chicken-breast-approx.-100g-4658349
6284567,Don Leg Shaved Ham | 200g,$6.40,https://www.coles.com.au/product/don-leg-shaved-ham-200g-6284567
3053353,Coles English Sliced Ham | 100g,$2.30,https://www.coles.com.au/product/coles-english-sliced-ham-100g-3053353
1067914,Coles Deli Fresh West Australian Barramundi Portions ... approx 200g,$6.50,https://www.coles.com.au/product/coles-deli-fresh-west-australian-barramundi-portions-skin-on-approx.-200g-1067914
2090081,Primo Spanish Style Chorizos | 1 each,$3.20,https://www.coles.com.au/product/primo-spanish-style-chorizos-1-each-2090081
6834125,Jarlsberg Regular Cheese Sliced/Shaved | approx 100g,$3.40,https://www.coles.com.au/product/jarlsberg-regular-cheese-slicedshaved-approx.-100g-each-6834125
4273050,Coles Deli Thawed Cooked Vannamei Prawns | approx 250g,$5.00,https://www.coles.com.au/product/coles-deli-thawed-cooked-vannamei-prawns-approx.-250g-4273050
5766450,Coles Deli Thawed Raw Whole Gulf Squid | approx 250g,$5.25,https://www.coles.com.au/product/coles-deli-thawed-raw-whole-gulf-squid-approx.-250g-5766450
5051494,Coles Australian Made Champagne Ham | approx 125g,$2.88,https://www.coles.com.au/product/coles-australian-made-champagne-ham-approx.-125g-5051494
9065548,Primo Manuka Honey Leg Ham | 100g,$3.70,https://www.coles.com.au/product/primo-manuka-honey-leg-ham-100g-9065548
3055086,Primo Gluten Free Thinly Sliced Champagne Leg ... 100g,$3.70,https://www.coles.com.au/product/primo-gluten-free-thinly-sliced-champagne-leg-ham-100g-3055086
4222343,Primo Red Gum Honey Leg Ham | approx 100g,$2.60,https://www.coles.com.au/product/primo-red-gum-honey-leg-ham-approx.-100g-4222343
2814057,Primo Chicken Breast Thinly Sliced | 80g,$3.70,https://www.coles.com.au/product/primo-chicken-breast-thinly-sliced-80g-2814057
5495432,Coles Ham Off The Bone | approx 100g,$2.90,https://www.coles.com.au/product/coles-ham-off-the-bone-approx.-100g-5495432
9672959,Coles Deli Thawed Australian Cooked Black Tiger Pra ... approx 250g,$8.00,https://www.coles.com.au/product/coles-deli-thawed-australian-cooked-black-tiger-prawns-large-approx.-250g-9672959
3055519,Primo Short Cut Bacon | 1 kg,$12.00,https://www.coles.com.au/product/primo-short-cut-bacon-1-kg-3055519
6284590,Don English Style Sliced Ham | 200g,$6.40,https://www.coles.com.au/product/don-english-style-sliced-ham-200g-6284590
1471636,Coles Deli Roast Beef | approx 100g,$2.95,https://www.coles.com.au/product/coles-deli-roast-beef-approx.-100g-1471636
4304302,Primo Streaky Bacon | approx 100g,$1.70,https://www.coles.com.au/product/primo-streaky-bacon-approx.-100g-4304302
2814013,Primo Mild Hungarian Salami | 80g,$3.70,https://www.coles.com.au/product/primo-mild-hungarian-salami-80g-2814013
6284545,Don Double Smoked Leg Ham | 200g,$6.40,https://www.coles.com.au/product/don-double-smoked-leg-ham-200g-6284545
2517845,Hans Mild Twiggy Sticks | 500g,$14.50,https://www.coles.com.au/product/hans-mild-twiggy-sticks-500g-2517845
3098748,Riverview Farms Hot Roast Pork | 1 each,$20.00,https://www.coles.com.au/product/riverview-farms-hot-roast-pork-1-each-3098748
6677184,Bertocchi Hot Soppressa Salami | approx 125g,$4.50,https://www.coles.com.au/product/bertocchi-hot-soppressa-salami-approx.-125g-6677184
3606022,Barkly Grandmother Full Leg Ham | approx 100g,$3.90,https://www.coles.com.au/product/barkly-grandmother-full-leg-ham-approx.-100g-3606022
2819436,Primo Gluten Free Thinly Sliced Double Smoked Leg Ham | 100g,$3.70,https://www.coles.com.au/product/primo-gluten-free-thinly-sliced-double-smoked-leg-ham-100g-2819436
5795130,Wonder White Bread + Vitamins & Mineral | 700g,$4.40,https://www.coles.com.au/product/wonder-white-bread-+-vitamins-and-mineral-700g-5795130
